#thresholds	precision	recall
0.999090075493	0.545839839393	1.0
0.999299287796	0.545738509594	0.99959133633
0.999947547913	0.545637134568	0.99918267266
0.999965786934	0.545535714286	0.998774008991
0.999986350536	0.545434248716	0.998365345321
0.999991893768	0.545332737829	0.997956681651
0.999991953373	0.545231181595	0.997548017981
0.999994397163	0.545129579982	0.997139354311
0.999999284744	0.545027932961	0.996730690642
0.999999880791	0.544926240501	0.996322026972
0.999999940395	0.544620890181	0.995096035962
1.0	0.54339538013	0.990192071925
1.00000011921	1.0	0.0012259910094
