#k	tpr	fpr
5	0.0010216591745	0.0
10	0.0012259910094	0.000817160367722
15	0.002043318349	0.00102145045965
20	0.0024519820188	0.00163432073544
25	0.0032693093584	0.00183861082737
30	0.0034736411933	0.0026557711951
35	0.0044953003678	0.0026557711951
40	0.0051082958725	0.00306435137896
45	0.0055169595423	0.00367722165475
50	0.006129955047	0.00408580183861
55	0.0067429505517	0.00449438202247
60	0.0073559460564	0.00490296220633
65	0.0075602778913	0.00572012257406
70	0.00837760523089	0.00592441266599
75	0.00858193706579	0.00674157303371
80	0.00919493257049	0.00715015321757
85	0.00960359624029	0.00776302349336
90	0.0104209235799	0.00796731358529
95	0.0108295872497	0.00858018386108
100	0.0108295872497	0.00960163432074
105	0.0116469145893	0.00980592441267
110	0.0118512464242	0.0106230847804
115	0.0124642419289	0.0110316649642
120	0.0128729055987	0.01164453524
125	0.0136902329383	0.011848825332
130	0.0138945647732	0.0126659856997
135	0.0149162239477	0.0126659856997
140	0.0151205557826	0.0134831460674
145	0.0159378831222	0.0136874361593
150	0.0165508786269	0.0140960163432
155	0.0165508786269	0.0151174668029
160	0.0175725378014	0.0151174668029
165	0.0177768696363	0.0159346271706
170	0.0181855333061	0.0165474974464
175	0.0190028606457	0.0167517875383
180	0.0192071924806	0.017568947906
185	0.0198201879853	0.0179775280899
190	0.02043318349	0.0183861082737
195	0.0210461789947	0.0187946884576
200	0.0216591744994	0.0192032686415
205	0.0222721700041	0.0196118488253
210	0.022476501839	0.0204290091931
215	0.0232938291786	0.020633299285
220	0.0234981610135	0.0214504596527
225	0.024519820188	0.0214504596527
230	0.0249284838578	0.0220633299285
235	0.0255414793625	0.0224719101124
240	0.0259501430323	0.0230847803882
245	0.0267674703719	0.0232890704801
250	0.0269718022068	0.0241062308478
255	0.0277891295464	0.0243105209397
260	0.0277891295464	0.0253319713994
265	0.0284021250511	0.0257405515832
270	0.028606456886	0.026557711951
275	0.0294237842256	0.0267620020429
280	0.0300367797303	0.0271705822268
285	0.030649775235	0.0275791624106
290	0.0310584389048	0.0281920326864
295	0.0320800980793	0.0281920326864
300	0.0320800980793	0.0292134831461
305	0.0331017572538	0.0292134831461
310	0.0333060890887	0.0300306435138
315	0.0337147527585	0.0306435137896
320	0.0343277482632	0.0310520939734
325	0.034736411933	0.0316649642492
330	0.0355537392726	0.0318692543412
335	0.0361667347773	0.032277834525
340	0.0365753984471	0.0328907048008
345	0.0371883939518	0.0332992849847
350	0.0380057212914	0.0335035750766
355	0.0382100531263	0.0343207354443
360	0.0390273804659	0.0345250255363
365	0.0392317123008	0.035342185904
370	0.0400490396404	0.0355464759959
375	0.04086636698	0.0357507660878
380	0.0412750306498	0.0363636363636
385	0.0416836943196	0.0369765066394
390	0.0425010216592	0.0371807967314
395	0.0427053534941	0.0379979570991
400	0.0435226808337	0.038202247191
405	0.0439313445035	0.0388151174668
410	0.0443400081733	0.0394279877426
415	0.0447486718431	0.0400408580184
420	0.0453616673478	0.0404494382022
425	0.0457703310176	0.041062308478
430	0.0467919901921	0.041062308478
435	0.0467919901921	0.0420837589377
440	0.0474049856968	0.0424923391216
