#thresholds	precision	recall
0.283952951431	0.41893830703	1.0
0.284194111824	0.418521177315	0.998287671233
0.284509688616	0.418671454219	0.998287671233
0.284881830215	0.41882183908	0.998287671233
0.284936010838	0.417985611511	0.994863013699
0.285741746426	0.418136020151	0.994863013699
0.287402898073	0.418286537077	0.994863013699
0.288048297167	0.418437162405	0.994863013699
0.288457125425	0.418587896254	0.994863013699
0.288481533527	0.418738738739	0.994863013699
0.288738429546	0.418889689978	0.994863013699
0.288901567459	0.41904075009	0.994863013699
0.289201527834	0.419191919192	0.994863013699
0.289467930794	0.419343197402	0.994863013699
0.289618998766	0.419494584838	0.994863013699
0.290139257908	0.419797687861	0.994863013699
0.291125744581	0.420101229212	0.994863013699
0.291340887547	0.420253164557	0.994863013699
0.291600346565	0.420405209841	0.994863013699
0.291869372129	0.420557365183	0.994863013699
0.292052656412	0.420709630702	0.994863013699
0.292417109013	0.420862006519	0.994863013699
0.292542159557	0.421014492754	0.994863013699
0.292608380318	0.421167089525	0.994863013699
0.292649835348	0.421472615161	0.994863013699
0.292859971523	0.421625544267	0.994863013699
0.293309658766	0.421778584392	0.994863013699
0.293542057276	0.421931735657	0.994863013699
0.293912261724	0.422084998184	0.994863013699
0.294068306684	0.422238372093	0.994863013699
0.294409573078	0.422391857506	0.994863013699
0.294695973396	0.421971626046	0.993150684932
0.295238435268	0.422125181951	0.993150684932
0.295480817556	0.422278849654	0.993150684932
0.29556286335	0.422432629279	0.993150684932
0.2956148386	0.422586520947	0.993150684932
0.296018242836	0.422740524781	0.993150684932
0.296285688877	0.422894640904	0.993150684932
0.296307861805	0.423048869438	0.993150684932
0.296494066715	0.423203210507	0.993150684932
0.297019660473	0.423357664234	0.993150684932
0.297110289335	0.423512230741	0.993150684932
0.297110319138	0.423821702594	0.993150684932
0.297296017408	0.423976608187	0.993150684932
0.297487467527	0.424131627057	0.993150684932
0.297600269318	0.424286759327	0.993150684932
0.297677159309	0.424442005123	0.993150684932
0.297834664583	0.424597364568	0.993150684932
0.298558592796	0.424752837788	0.993150684932
0.298877477646	0.424908424908	0.993150684932
0.299014210701	0.425064126053	0.993150684932
0.299449443817	0.425219941349	0.993150684932
0.299729943275	0.42537587092	0.993150684932
0.300497591496	0.425531914894	0.993150684932
0.300530970097	0.425688073394	0.993150684932
0.301620185375	0.425844346549	0.993150684932
0.302051007748	0.426000734484	0.993150684932
0.30328887701	0.426157237325	0.993150684932
0.303316742182	0.4263138552	0.993150684932
0.303412139416	0.426470588235	0.993150684932
0.303631782532	0.426941479573	0.993150684932
0.303649187088	0.427098674521	0.993150684932
0.303946554661	0.427413411938	0.993150684932
0.304182112217	0.427570954663	0.993150684932
0.304301202297	0.427728613569	0.993150684932
0.304489374161	0.427886388786	0.993150684932
0.304881691933	0.428044280443	0.993150684932
0.305245041847	0.428202288667	0.993150684932
0.305670112371	0.428360413589	0.993150684932
0.305823385715	0.428518655338	0.993150684932
0.306094259024	0.428677014043	0.993150684932
0.306955039501	0.428835489834	0.993150684932
0.308256804943	0.42899408284	0.993150684932
0.308396577835	0.429152793193	0.993150684932
0.308869600296	0.429311621021	0.993150684932
0.30892854929	0.429470566457	0.993150684932
0.309151530266	0.42962962963	0.993150684932
0.309512943029	0.429788810671	0.993150684932
0.309819340706	0.429948109711	0.993150684932
0.310017228127	0.430107526882	0.993150684932
0.31041893363	0.430267062315	0.993150684932
0.311444818974	0.430426716141	0.993150684932
0.312392890453	0.430586488493	0.993150684932
0.312777221203	0.430746379502	0.993150684932
0.312959045172	0.431066518023	0.993150684932
0.31392621994	0.431387132763	0.993150684932
0.314267158508	0.431547619048	0.993150684932
0.314760267735	0.431708224786	0.993150684932
0.314897894859	0.432029795158	0.993150684932
0.314985752106	0.43219076006	0.993150684932
0.315235793591	0.43235184495	0.993150684932
0.315607964993	0.432513049963	0.993150684932
0.316046416759	0.432674375233	0.993150684932
0.316288948059	0.432835820896	0.993150684932
0.316553652287	0.432997387085	0.993150684932
0.317353606224	0.433159073936	0.993150684932
0.317657709122	0.433320881584	0.993150684932
0.317907810211	0.433644859813	0.993150684932
0.318142384291	0.433807030666	0.993150684932
0.318782150745	0.433969322858	0.993150684932
0.319046378136	0.434131736527	0.993150684932
0.319354891777	0.434294271808	0.993150684932
0.319792032242	0.434456928839	0.993150684932
0.319817304611	0.434619707756	0.993150684932
0.319824963808	0.434782608696	0.993150684932
0.319897413254	0.434945631796	0.993150684932
0.320164233446	0.435108777194	0.993150684932
0.320267081261	0.435272045028	0.993150684932
0.320507228374	0.435435435435	0.993150684932
0.320928096771	0.435598948554	0.993150684932
0.320942342281	0.435762584523	0.993150684932
0.321541398764	0.43592634348	0.993150684932
0.322251915932	0.436090225564	0.993150684932
0.322429418564	0.436254230914	0.993150684932
0.32268127799	0.436418359669	0.993150684932
0.323498189449	0.436582611968	0.993150684932
0.323529005051	0.436061863448	0.989726027397
0.323548913002	0.436226415094	0.989726027397
0.323586940765	0.436391090978	0.989726027397
0.324020206928	0.436555891239	0.989726027397
0.32424813509	0.436720816018	0.989726027397
0.324610739946	0.436885865457	0.989726027397
0.324695169926	0.437051039698	0.989726027397
0.3258010149	0.43721633888	0.989726027397
0.32583296299	0.437381763148	0.989726027397
0.326457798481	0.437547312642	0.989726027397
0.326596200466	0.437878787879	0.989726027397
0.326813697815	0.438044713907	0.989726027397
0.326833337545	0.438210765732	0.989726027397
0.327093303204	0.438376943496	0.989726027397
0.327179372311	0.438543247344	0.989726027397
0.327182531357	0.438709677419	0.989726027397
