#F1_score	percentage
0.0	0.000535045478866
0.010101010101	0.00107009095773
0.020202020202	0.00374531835206
0.030303030303	0.00695559122525
0.040404040404	0.00856072766185
0.0505050505051	0.0107009095773
0.0606060606061	0.0133761369716
0.0707070707071	0.0155163188871
0.0808080808081	0.0181915462814
0.0909090909091	0.0219368646335
0.10101010101	0.024077046549
0.111111111111	0.0272873194222
0.121212121212	0.0294275013376
0.131313131313	0.0342429106474
0.141414141414	0.0369181380417
0.151515151515	0.0390583199572
0.161616161616	0.043873729267
0.171717171717	0.0470840021402
0.181818181818	0.0497592295345
0.191919191919	0.0551096843232
0.20202020202	0.0593900481541
0.212121212121	0.063670411985
0.222222222222	0.0679507758159
0.232323232323	0.0711610486891
0.242424242424	0.0743713215623
0.252525252525	0.0781166399144
0.262626262626	0.0818619582665
0.272727272727	0.0845371856608
0.282828282828	0.0893525949706
0.292929292929	0.0925628678438
0.30303030303	0.0973782771536
0.313131313131	0.101658640984
0.323232323232	0.106474050294
0.333333333333	0.110219368646
0.343434343434	0.114499732477
0.353535353535	0.123595505618
0.363636363636	0.12734082397
0.373737373737	0.131621187801
0.383838383838	0.135901551632
0.393939393939	0.141787051899
0.40404040404	0.147672552167
0.414141414141	0.151417870519
0.424242424242	0.153558052434
0.434343434343	0.161048689139
0.444444444444	0.164258962012
0.454545454545	0.171214553237
0.464646464646	0.174959871589
0.474747474747	0.179775280899
0.484848484848	0.18405564473
0.494949494949	0.189941144997
0.505050505051	0.194221508828
0.515151515152	0.198501872659
0.525252525253	0.203317281969
0.535353535354	0.210807918673
0.545454545455	0.216693418941
0.555555555556	0.223113964687
0.565656565657	0.23113964687
0.575757575758	0.241840556447
0.585858585859	0.252006420546
0.59595959596	0.288924558587
0.606060606061	0.332263242376
0.616161616162	0.379882289995
0.626262626263	0.424291064741
0.636363636364	0.469769930444
0.646464646465	0.50454788657
0.656565656566	0.554307116105
0.666666666667	0.593365436062
0.676767676768	0.631353665062
0.686868686869	0.668806848582
0.69696969697	0.73568753344
0.707070707071	0.787051899411
0.717171717172	0.92455858748
0.727272727273	1.0
0.737373737374	1.0
0.747474747475	1.0
0.757575757576	1.0
0.767676767677	1.0
0.777777777778	1.0
0.787878787879	1.0
0.79797979798	1.0
0.808080808081	1.0
0.818181818182	1.0
0.828282828283	1.0
0.838383838384	1.0
0.848484848485	1.0
0.858585858586	1.0
0.868686868687	1.0
0.878787878788	1.0
0.888888888889	1.0
0.89898989899	1.0
0.909090909091	1.0
0.919191919192	1.0
0.929292929293	1.0
0.939393939394	1.0
0.949494949495	1.0
0.959595959596	1.0
0.969696969697	1.0
0.979797979798	1.0
0.989898989899	1.0
1.0	1.0
