#thresholds	precision	recall
0.998959898949	0.547121296814	1.0
0.99930870533	0.547020015655	0.99959133633
0.999895334244	0.546918689185	0.99918267266
0.999966681004	0.546817317373	0.998774008991
0.999969005585	0.54671590019	0.998365345321
0.999978780746	0.546614437605	0.997956681651
0.999981760979	0.546512929587	0.997548017981
0.999999642372	0.546411376106	0.997139354311
0.999999880791	0.546309777131	0.996730690642
0.999999940395	0.546208132631	0.996322026972
1.0	1.0	0.0821413976298
1.00000011921	1.0	0.0004086636698
