#F1_score	percentage
0.0	0.000521920668058
0.010101010101	0.000521920668058
0.020202020202	0.000521920668058
0.030303030303	0.000521920668058
0.040404040404	0.000521920668058
0.0505050505051	0.000521920668058
0.0606060606061	0.000521920668058
0.0707070707071	0.000521920668058
0.0808080808081	0.00104384133612
0.0909090909091	0.00260960334029
0.10101010101	0.00469728601253
0.111111111111	0.00835073068894
0.121212121212	0.0109603340292
0.131313131313	0.0135699373695
0.141414141414	0.0151356993737
0.151515151515	0.017745302714
0.161616161616	0.0203549060543
0.171717171717	0.0229645093946
0.181818181818	0.0260960334029
0.191919191919	0.0276617954071
0.20202020202	0.0313152400835
0.212121212121	0.0339248434238
0.222222222222	0.0365344467641
0.232323232323	0.0396659707724
0.242424242424	0.0422755741127
0.252525252525	0.0454070981211
0.262626262626	0.0485386221294
0.272727272727	0.0516701461378
0.282828282828	0.0548016701461
0.292929292929	0.0579331941545
0.30303030303	0.0610647181628
0.313131313131	0.0641962421712
0.323232323232	0.0673277661795
0.333333333333	0.0704592901879
0.343434343434	0.0735908141962
0.353535353535	0.0767223382046
0.363636363636	0.080375782881
0.373737373737	0.0840292275574
0.383838383838	0.0871607515658
0.393939393939	0.0908141962422
0.40404040404	0.0939457202505
0.414141414141	0.098121085595
0.424242424242	0.101774530271
0.434343434343	0.103862212944
0.444444444444	0.106471816284
0.454545454545	0.111169102296
0.464646464646	0.115866388309
0.474747474747	0.119519832985
0.484848484848	0.121607515658
0.494949494949	0.124739039666
0.505050505051	0.12630480167
0.515151515152	0.130480167015
0.525252525253	0.134655532359
0.535353535354	0.138308977035
0.545454545455	0.14248434238
0.555555555556	0.147181628392
0.565656565657	0.152400835073
0.575757575758	0.157098121086
0.585858585859	0.163361169102
0.59595959596	0.168058455115
0.606060606061	0.1748434238
0.616161616162	0.181106471816
0.626262626263	0.186847599165
0.636363636364	0.188413361169
0.646464646465	0.195720250522
0.656565656566	0.205636743215
0.666666666667	0.2124217119
0.676767676768	0.221816283925
0.686868686869	0.260438413361
0.69696969697	0.300104384134
0.707070707071	0.333507306889
0.717171717172	0.371607515658
0.727272727273	0.406054279749
0.737373737374	0.443110647182
0.747474747475	0.47860125261
0.757575757576	0.536012526096
0.767676767677	0.593945720251
0.777777777778	0.640396659708
0.787878787879	0.681106471816
0.79797979798	0.705114822547
0.808080808081	0.815762004175
0.818181818182	0.991127348643
0.828282828283	1.0
0.838383838384	1.0
0.848484848485	1.0
0.858585858586	1.0
0.868686868687	1.0
0.878787878788	1.0
0.888888888889	1.0
0.89898989899	1.0
0.909090909091	1.0
0.919191919192	1.0
0.929292929293	1.0
0.939393939394	1.0
0.949494949495	1.0
0.959595959596	1.0
0.969696969697	1.0
0.979797979798	1.0
0.989898989899	1.0
1.0	1.0
