#F1_score	percentage
0.0	0.000585137507314
0.010101010101	0.00994733762434
0.020202020202	0.0210649502633
0.030303030303	0.0327677004096
0.040404040404	0.0438853130486
0.0505050505051	0.0561732007022
0.0606060606061	0.0678759508484
0.0707070707071	0.0795787009947
0.0808080808081	0.091281451141
0.0909090909091	0.103569338795
0.10101010101	0.114686951434
0.111111111111	0.12638970158
0.121212121212	0.139847864248
0.131313131313	0.151550614394
0.141414141414	0.164423639555
0.151515151515	0.173200702165
0.161616161616	0.187829139848
0.171717171717	0.201287302516
0.181818181818	0.22001170275
0.191919191919	0.239321240492
0.20202020202	0.251023990638
0.212121212121	0.251023990638
0.222222222222	0.251023990638
0.232323232323	0.251023990638
0.242424242424	0.256875365711
0.252525252525	0.261556465769
0.262626262626	0.268578115857
0.272727272727	0.268578115857
0.282828282828	0.270333528379
0.292929292929	0.287302516091
0.30303030303	0.293739028672
0.313131313131	0.342305441779
0.323232323232	0.342305441779
0.333333333333	0.342305441779
0.343434343434	0.342305441779
0.353535353535	0.342305441779
0.363636363636	0.342305441779
0.373737373737	0.342305441779
0.383838383838	0.342305441779
0.393939393939	0.342305441779
0.40404040404	0.342305441779
0.414141414141	0.342305441779
0.424242424242	0.342305441779
0.434343434343	0.342305441779
0.444444444444	0.342305441779
0.454545454545	0.342305441779
0.464646464646	0.342890579286
0.474747474747	0.342890579286
0.484848484848	0.342890579286
0.494949494949	0.342890579286
0.505050505051	0.342890579286
0.515151515152	0.342890579286
0.525252525253	0.373902867174
0.535353535354	0.475131655939
0.545454545455	0.601521357519
0.555555555556	0.692217671153
0.565656565657	0.75599765945
0.575757575758	0.764189584552
0.585858585859	0.805734347572
0.59595959596	0.895845523698
0.606060606061	0.992978349912
0.616161616162	1.0
0.626262626263	1.0
0.636363636364	1.0
0.646464646465	1.0
0.656565656566	1.0
0.666666666667	1.0
0.676767676768	1.0
0.686868686869	1.0
0.69696969697	1.0
0.707070707071	1.0
0.717171717172	1.0
0.727272727273	1.0
0.737373737374	1.0
0.747474747475	1.0
0.757575757576	1.0
0.767676767677	1.0
0.777777777778	1.0
0.787878787879	1.0
0.79797979798	1.0
0.808080808081	1.0
0.818181818182	1.0
0.828282828283	1.0
0.838383838384	1.0
0.848484848485	1.0
0.858585858586	1.0
0.868686868687	1.0
0.878787878788	1.0
0.888888888889	1.0
0.89898989899	1.0
0.909090909091	1.0
0.919191919192	1.0
0.929292929293	1.0
0.939393939394	1.0
0.949494949495	1.0
0.959595959596	1.0
0.969696969697	1.0
0.979797979798	1.0
0.989898989899	1.0
1.0	1.0
