#thresholds	precision	recall
0.998682141304	0.547121296814	1.0
0.999102771282	0.547020015655	0.99959133633
0.999358713627	0.546918689185	0.99918267266
0.999889194965	0.546817317373	0.998774008991
0.999907016754	0.54671590019	0.998365345321
0.999971270561	0.546614437605	0.997956681651
0.999971628189	0.546512929587	0.997548017981
0.999972760677	0.546411376106	0.997139354311
0.999978065491	0.546309777131	0.996730690642
0.999979376793	0.546208132631	0.996322026972
0.99998652935	0.546106442577	0.995913363302
0.999990940094	0.546004706937	0.995504699632
0.999999642372	0.545902925681	0.995096035962
0.999999761581	0.545801098778	0.994687372293
0.999999880791	0.545699226197	0.994278708623
0.999999940395	0.54549534388	0.993461381283
1.0	0.544268196648	0.988557417246
1.00000011921	1.0	0.0004086636698
