#k	tpr	fpr
5	0.0	0.00299401197605
10	0.0	0.0059880239521
15	0.0	0.00898203592814
20	0.0	0.0119760479042
25	0.0	0.0149700598802
30	0.0	0.0179640718563
35	0.0	0.0209580838323
40	0.0	0.0239520958084
45	0.0	0.0269461077844
50	0.0	0.0299401197605
55	0.0	0.0329341317365
60	0.0	0.0359281437126
65	0.0	0.0389221556886
70	0.0	0.0419161676647
75	0.0	0.0449101796407
80	0.0	0.0479041916168
85	0.0	0.0508982035928
90	0.0	0.0538922155689
95	0.0	0.0568862275449
100	0.0	0.059880239521
105	0.0	0.062874251497
110	0.0	0.0658682634731
115	0.0	0.0688622754491
120	0.0	0.0718562874251
125	0.0	0.0748502994012
130	0.0	0.0778443113772
135	0.0	0.0808383233533
140	0.0	0.0838323353293
145	0.0	0.0868263473054
150	0.0	0.0898203592814
155	0.0	0.0928143712575
160	0.0	0.0958083832335
165	0.0	0.0988023952096
170	0.0	0.101796407186
175	0.0	0.104790419162
180	0.0	0.107784431138
185	0.0	0.110778443114
190	0.0	0.11377245509
195	0.0	0.116766467066
200	0.0	0.119760479042
205	0.0	0.122754491018
210	0.0	0.125748502994
215	0.00264783759929	0.126946107784
220	0.00706090026478	0.126946107784
225	0.00882612533098	0.12874251497
230	0.0132391879965	0.12874251497
235	0.017652250662	0.12874251497
240	0.0220653133274	0.12874251497
245	0.0264783759929	0.12874251497
250	0.0300088261253	0.129341317365
255	0.0335392762577	0.12994011976
260	0.0370697263901	0.130538922156
265	0.0414827890556	0.130538922156
270	0.0458958517211	0.130538922156
275	0.0503089143866	0.130538922156
280	0.0547219770521	0.130538922156
285	0.0582524271845	0.131137724551
290	0.06266548985	0.131137724551
295	0.0670785525154	0.131137724551
300	0.0706090026478	0.131736526946
305	0.0750220653133	0.131736526946
310	0.0794351279788	0.131736526946
315	0.0829655781112	0.132335329341
320	0.0864960282436	0.132934131737
325	0.0909090909091	0.132934131737
330	0.0953221535746	0.132934131737
335	0.0997352162401	0.132934131737
340	0.103265666372	0.133532934132
345	0.107678729038	0.133532934132
350	0.112091791703	0.133532934132
355	0.116504854369	0.133532934132
360	0.120917917034	0.133532934132
365	0.1253309797	0.133532934132
370	0.129744042365	0.133532934132
375	0.133274492498	0.134131736527
380	0.137687555163	0.134131736527
385	0.141218005296	0.134730538922
390	0.145631067961	0.134730538922
395	0.150044130627	0.134730538922
400	0.153574580759	0.135329341317
405	0.157987643425	0.135329341317
410	0.16240070609	0.135329341317
415	0.166813768756	0.135329341317
420	0.171226831421	0.135329341317
425	0.174757281553	0.135928143713
430	0.178287731686	0.136526946108
435	0.182700794351	0.136526946108
440	0.187113857017	0.136526946108
445	0.191526919682	0.136526946108
450	0.195939982348	0.136526946108
455	0.200353045013	0.136526946108
460	0.204766107679	0.136526946108
465	0.209179170344	0.136526946108
470	0.21359223301	0.136526946108
475	0.216240070609	0.137724550898
480	0.220653133274	0.137724550898
485	0.22506619594	0.137724550898
490	0.229479258605	0.137724550898
495	0.233892321271	0.137724550898
500	0.237422771403	0.138323353293
505	0.241835834069	0.138323353293
510	0.246248896734	0.138323353293
515	0.2506619594	0.138323353293
520	0.253309796999	0.139520958084
525	0.257722859665	0.139520958084
530	0.261253309797	0.140119760479
535	0.265666372462	0.140119760479
540	0.269196822595	0.140718562874
545	0.27360988526	0.140718562874
550	0.278022947926	0.140718562874
555	0.282436010591	0.140718562874
560	0.285966460724	0.141317365269
565	0.289496910856	0.141916167665
570	0.293909973522	0.141916167665
575	0.298323036187	0.141916167665
580	0.30185348632	0.14251497006
585	0.306266548985	0.14251497006
590	0.31067961165	0.14251497006
595	0.315092674316	0.14251497006
600	0.319505736981	0.14251497006
605	0.323918799647	0.14251497006
610	0.328331862312	0.14251497006
615	0.331862312445	0.143113772455
620	0.33627537511	0.143113772455
625	0.340688437776	0.143113772455
630	0.345101500441	0.143113772455
635	0.349514563107	0.143113772455
640	0.353927625772	0.143113772455
645	0.358340688438	0.143113772455
650	0.362753751103	0.143113772455
655	0.367166813769	0.143113772455
660	0.371579876434	0.143113772455
665	0.3759929391	0.143113772455
670	0.380406001765	0.143113772455
675	0.384819064431	0.143113772455
680	0.389232127096	0.143113772455
685	0.393645189762	0.143113772455
690	0.398058252427	0.143113772455
695	0.402471315093	0.143113772455
700	0.406001765225	0.14371257485
705	0.409532215357	0.144311377246
710	0.413945278023	0.144311377246
715	0.418358340688	0.144311377246
720	0.422771403354	0.144311377246
725	0.426301853486	0.144910179641
730	0.430714916152	0.144910179641
735	0.435127978817	0.144910179641
740	0.439541041483	0.144910179641
745	0.443954104148	0.144910179641
750	0.448367166814	0.144910179641
755	0.452780229479	0.144910179641
760	0.457193292145	0.144910179641
765	0.46160635481	0.144910179641
770	0.466019417476	0.144910179641
775	0.469549867608	0.145508982036
780	0.473080317741	0.146107784431
785	0.477493380406	0.146107784431
790	0.481906443071	0.146107784431
795	0.486319505737	0.146107784431
800	0.490732568402	0.146107784431
805	0.494263018535	0.146706586826
810	0.4986760812	0.146706586826
815	0.503089143866	0.146706586826
820	0.506619593998	0.147305389222
825	0.510150044131	0.147904191617
830	0.514563106796	0.147904191617
835	0.518093556929	0.148502994012
840	0.522506619594	0.148502994012
845	0.526919682259	0.148502994012
850	0.530450132392	0.149101796407
855	0.533980582524	0.149700598802
860	0.53839364519	0.149700598802
865	0.542806707855	0.149700598802
870	0.547219770521	0.149700598802
875	0.550750220653	0.150299401198
880	0.555163283319	0.150299401198
885	0.559576345984	0.150299401198
890	0.56398940865	0.150299401198
